,link,first_name,last_name,nationality,year
142,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=9744,John,Ferren,American, 1905 - 1970
143,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=11646,Pietro,Ferrerio,Italian, 1600 - 1654
144,https://web.archive.org/web/20121010212542/http://www.nga.gov/cgi-bin/tsearch?artistid=19596,Domenico,Ferretti,Italian, 1701 - 1774
145,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=19583,Ciro,Ferri,Italian, 1634 - 1689
146,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=10595,Ronoldo,Ferri,born 1932,
147,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=1295,Martin Edgar,Ferrill,American, 1836 or 1837 - 1897
148,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4076,Edythe,Ferris,American, born 1897
149,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=33419,Stephen James,Ferris,American, 1835 - 1915
150,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4266,,Ferro (pseud.),Icelandic, born 1932
151,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=5768,Francesco di Simone,Ferrucci,Italian, 1437 - 1493
152,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=23826,Claude-Mathieu,Fessard,French, active 1765 - 1805
153,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4077,Etienne,Fessard,French, 1714 - 1777
154,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=1298,Domenico,Feti,Italian, 1589 - 1623
155,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=1298,Domenico,Fetti,Italian, 1589 - 1623
156,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=27680,Rainer,Fetting,German, born 1949
157,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=30496,Tomas de,Feu,active late 16th century,
158,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=15004,Jean-Jacques,Feuchère,French, 1807 - 1852
159,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=22808,Georges de,Feure,French, 1868 - 1943
160,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4078,Francois-Nicolas Auguste,Feyen-Perrin,French, 1826 - 1888
161,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4079,Odoardo,Fialetti,Italian, 1573 - 1638
162,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=2107,Francesco Canno,Fiamingo,Flemish, 1597 - 1643
163,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=5888,il,Fiammenghino,Italian, 1575 - 1640
164,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=2722,il,Fiammenghino,Italian, c. 1561 - probably 1630
165,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=2107,il,Fiammingo,Flemish, 1597 - 1643
166,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=7502,Joseph,Ficcadenti,American, active c. 1935
167,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=6513,Robert,Fichter,American, born 1939
168,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4080,Étienne,Ficquet,French, 1719 - 1794
169,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=33420,Edward Loyal,Field,American, 1856 - 1914
170,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=1299,Erastus Salisbury,Field,American, 1805 - 1900
171,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=9834,Thales,Fielding,British, 1793 - 1837
172,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=5492,Ernest,Fiene,American, 1894 - 1965
173,https://web.archive.org/web/20121010212619/http://www.nga.gov/cgi-bin/tsearch?artistid=4082,Hanns,Fierst,German, active 1956
174,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=34233,Mary E.,Fife,American, 1904 - 1990
175,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=15474,Ambrogio,Figino,Italian, 1548 - 1608
176,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=15474,Giovan Ambrogio,Figino,Italian, 1548 - 1608
177,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=24004,Stanislaw,Fijalkowski,Polish, born 1922
178,https://web.archive.org/web/20121010212720/http://www.nga.gov/cgi-bin/tsearch?artistid=4084,Phillip,Fike,American, active 1978
